row,scenario,symbol,gross_return_pct,recorded_return_pct,implicit_cost_pp,cost_0_10_net,cost_0_15_net,cost_0_20_net,cost_0_30_net
139,S72_SL4_TP8,GALA/USDT,-2.9605263158,-3.1605263158,0.2000000000,-3.0605263158,-3.1105263158,-3.1605263158,-3.2605263158
140,S72_SL4_TP8,ADA/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
141,S72_SL4_TP8,TUT/USDT,1.3913043478,1.1913043478,0.2000000000,1.2913043478,1.2413043478,1.1913043478,1.0913043478
142,S72_SL4_TP8,POL/USDT,-0.0551267916,-0.2551267916,0.2000000000,-0.1551267916,-0.2051267916,-0.2551267916,-0.3551267916
143,S72_SL4_TP8,BICO/USDT,-0.7506255213,-0.9506255213,0.2000000000,-0.8506255213,-0.9006255213,-0.9506255213,-1.0506255213
144,S72_SL4_TP8,GPS/USDT,-0.3171247357,-0.5171247357,0.2000000000,-0.4171247357,-0.4671247357,-0.5171247357,-0.6171247357
145,S72_SL4_TP8,USDE/USDT,-0.0399640324,-0.2399640324,0.2000000000,-0.1399640324,-0.1899640324,-0.2399640324,-0.3399640324
146,S72_SL4_TP8,KAITO/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
147,S72_SL4_TP8,HOME/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
148,S72_SL4_TP8,GIGGLE/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
149,S72_SL4_TP8,PEPE/USDT,4.6762589928,4.4762589928,0.2000000000,4.5762589928,4.5262589928,4.4762589928,4.3762589928
150,S72_SL4_TP8,DOT/USDT,2.9677419355,2.7677419355,0.2000000000,2.8677419355,2.8177419355,2.7677419355,2.6677419355
151,S72_SL4_TP8,ARB/USDT,4.2253521127,4.0253521127,0.2000000000,4.1253521127,4.0753521127,4.0253521127,3.9253521127
152,S72_SL4_TP8,EDEN/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
153,S72_SL4_TP8,HEMI/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
154,S72_SL4_TP8,FDUSD/USDT,-0.0300540974,-0.2300540974,0.2000000000,-0.1300540974,-0.1800540974,-0.2300540974,-0.3300540974
155,S72_SL4_TP8,SKHYB/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
156,S72_SL4_TP8,ACE/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
157,S72_SL4_TP8,EUR/USDT,0.0259942813,-0.1740057187,0.2000000000,-0.0740057187,-0.1240057187,-0.1740057187,-0.2740057187
158,S72_SL4_TP8,ALLO/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
159,S72_SL4_TP8,FIL/USDT,0.6805555556,0.4805555556,0.2000000000,0.5805555556,0.5305555556,0.4805555556,0.3805555556
160,S72_SL4_TP8,TUT/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
161,S72_SL4_TP8,BICO/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
162,S72_SL4_TP8,PAXG/USDT,-0.5595714550,-0.7595714550,0.2000000000,-0.6595714550,-0.7095714550,-0.7595714550,-0.8595714550
163,S72_SL4_TP8,USD1/USDT,0.0069996500,-0.1930003500,0.2000000000,-0.0930003500,-0.1430003500,-0.1930003500,-0.2930003500
164,S72_SL4_TP8,MUBARAK/USDT,-0.5498821681,-0.7498821681,0.2000000000,-0.6498821681,-0.6998821681,-0.7498821681,-0.8498821681
165,S72_SL4_TP8,NEAR/USDT,2.1637426901,1.9637426901,0.2000000000,2.0637426901,2.0137426901,1.9637426901,1.8637426901
166,S72_SL4_TP8,HOME/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
167,S72_SL4_TP8,USDC/USDT,-0.0269751828,-0.2269751828,0.2000000000,-0.1269751828,-0.1769751828,-0.2269751828,-0.3269751828
168,S72_SL4_TP8,PUMP/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
169,S72_SL4_TP8,OPN/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
170,S72_SL4_TP8,ENA/USDT,0.9988901221,0.7988901221,0.2000000000,0.8988901221,0.8488901221,0.7988901221,0.6988901221
171,S72_SL4_TP8,ADA/USDT,3.0671602327,2.8671602327,0.2000000000,2.9671602327,2.9171602327,2.8671602327,2.7671602327
172,S72_SL4_TP8,PEPE/USDT,-0.6872852234,-0.8872852234,0.2000000000,-0.7872852234,-0.8372852234,-0.8872852234,-0.9872852234
173,S72_SL4_TP8,RARE/USDT,-2.8997514499,-3.0997514499,0.2000000000,-2.9997514499,-3.0497514499,-3.0997514499,-3.1997514499
174,S72_SL4_TP8,SUI/USDT,-0.8036739380,-1.0036739380,0.2000000000,-0.9036739380,-0.9536739380,-1.0036739380,-1.1036739380
175,S72_SL4_TP8,BMT/USDT,0.9950248756,0.7950248756,0.2000000000,0.8950248756,0.8450248756,0.7950248756,0.6950248756
176,S72_SL4_TP8,SNDKB/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
177,S72_SL4_TP8,HEI/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
178,S72_SL4_TP8,SPCXB/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
179,S72_SL4_TP8,EWYB/USDT,4.5211293597,4.3211293597,0.2000000000,4.4211293597,4.3711293597,4.3211293597,4.2211293597
180,S72_SL4_TP8,ACE/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
181,S72_SL4_TP8,USDE/USDT,-0.0099920064,-0.2099920064,0.2000000000,-0.1099920064,-0.1599920064,-0.2099920064,-0.3099920064
182,S72_SL4_TP8,PORTAL/USDT,2.7462121212,2.5462121212,0.2000000000,2.6462121212,2.5962121212,2.5462121212,2.4462121212
183,S72_SL4_TP8,PAXG/USDT,2.9716829649,2.7716829649,0.2000000000,2.8716829649,2.8216829649,2.7716829649,2.6716829649
184,S72_SL4_TP8,XAUT/USDT,2.9309489546,2.7309489546,0.2000000000,2.8309489546,2.7809489546,2.7309489546,2.6309489546
185,S72_SL4_TP8,MUB/USDT,4.8153470654,4.6153470654,0.2000000000,4.7153470654,4.6653470654,4.6153470654,4.5153470654
