scenario,n,avg,median,win_rate,pf,compound_final,dd
S82_SL6_TP15,273,0.8261580651190059,-0.2099870168780547,43.223443223443226,1.5002226418999083,6042.702081851222,-62.66704233912308
S82_SL6_TP8,290,0.5171293208617773,-0.2,45.86206896551724,1.3392453336017154,3307.4892807624724,-41.05412118175297
S85_SL4_TP10,275,0.7961274625936342,-0.20999200639488774,42.54545454545455,1.5888802668517548,6666.13883048865,-37.55651223267022
S85_SL4_TP12,276,1.7705862022989403,-0.2059998200053979,44.20289855072464,2.3140267213522625,41231.27316483684,-41.153364174047425
S85_SL4_TP15,270,1.283585026148381,-0.2199740337561094,42.96296296296296,1.9349231294772282,20836.299961934477,-33.321879635480514
S85_SL4_TP8,288,1.281509593114845,-0.2099870168780547,44.791666666666664,1.9496257071120864,13615.27468618695,-43.7408755729611
S85_SL5_TP10,274,0.5908853386798472,-0.20998901208673076,43.065693430656935,1.3848189903216452,3700.356367914713,-54.99591269061974
S85_SL5_TP12,271,0.992546084417386,-0.2,44.64944649446495,1.6702985576065297,10033.66152721305,-50.258549966169184
S85_SL5_TP15,261,0.8287981719565599,-0.2059998200053979,42.911877394636015,1.541442814591822,5930.760635904525,-39.83445941990278
S85_SL5_TP8,280,0.9899972642606296,-0.2,44.285714285714285,1.6365969934568387,5759.782163064317,-65.37923933330518
S85_SL6_TP10,270,0.6453331115495315,-0.2,45.18518518518518,1.3993801165984,4042.9923005286823,-65.15881874124405
S85_SL6_TP12,267,0.8799242127836127,-0.2,45.3183520599251,1.5480855293160822,7050.726368597231,-62.819725020334594
S85_SL6_TP15,258,0.5757321459828709,-0.21998401278976437,40.69767441860465,1.3134666630154215,2909.650302696127,-46.68434247246962
S85_SL6_TP8,274,0.8990036412232787,-0.2029973922687221,44.52554744525548,1.5488849609730864,4184.096191876666,-66.69955648461861
