name,score,sl,tp,cooldown_hours,max_entries_24h,max_positions,cost,trades,win_rate,return_pct,median_pct,profit_factor,drawdown_pct,remove_top10_return,remove_top20_return,remove_symbol10_return,first_half_return,second_half_return,mc_positive_probability,mc_drawdown_p95,walk_forward_positive_windows,walk_forward_windows,robustness_score,eligible
S82_SL6_TP10,82,6.0,10.0,12,1,10,0.1,284,44.36619718309859,401.7910779088734,-0.2,1.4338054728441454,-38.57220769516194,92.69772570521089,-24.342290721923675,-49.064890945793884,15.647195280460458,333.89818204579973,97.64,-26.582487077516344,9,13,53.0,False
S82_SL6_TP12,82,6.0,12.0,12,1,10,0.1,286,43.00699300699301,429.3914852984933,-0.2154937931970023,1.42952686454642,-56.37537592818171,73.52374670745081,-43.12245000613486,-32.31228008814028,3.4432839724155784,411.7697978726798,96.66,-28.092271753592108,10,13,56.0,False
S82_SL6_TP15,82,6.0,15.0,12,1,10,0.1,273,43.223443223443226,504.2702081851222,-0.2099870168780547,1.5002226418999083,-62.66704233912308,51.98905071292958,-61.77095739007462,-42.018526639427954,-4.399026176848997,532.0753691305919,97.32,-27.63999694420366,10,13,51.0,False
S85_SL4_TP8,85,4.0,8.0,12,1,10,0.1,288,44.79166666666667,1261.527468618695,-0.20998801448239274,1.9496257071120864,-43.74087557296118,130.74512572290124,8.879201511943036,0.1280089903326953,46.20951023808231,831.2167631241165,99.58,-21.098078531333513,7,13,67.0,False
S85_SL4_TP10,85,4.0,10.0,12,1,10,0.1,275,42.54545454545455,566.613883048865,-0.20999200639488774,1.5888802668517548,-37.55651223267022,155.99295173272,0.5089201159524492,0.817425979167008,36.79369537587371,387.31330871439866,99.58,-20.626061206200966,9,13,70.0,False
S85_SL4_TP12,85,4.0,12.0,12,1,10,0.1,276,44.20289855072464,4023.1273164836844,-0.2079934184417263,2.3140267213522625,-41.15336417404743,429.38435938030165,73.52141097660201,58.33434918220326,134.12901251457404,1661.049291670776,99.98,-19.85230281183263,10,13,73.0,False
S85_SL4_TP15,85,4.0,15.0,12,1,10,0.1,270,42.96296296296296,1983.6299961934478,-0.21997802497076818,1.9349231294772282,-33.321879635480514,424.08498858412696,31.82046513104804,29.770373527463878,245.6896659236584,502.74581556441325,100.0,-20.135164675175087,8,13,70.0,False
S85_SL5_TP8,85,5.0,8.0,12,1,10,0.1,280,44.285714285714285,475.97821630643165,-0.20149869613436105,1.6365969934568387,-65.37923933330516,1.457015738156353,-52.12657763951734,-58.93950275340831,-29.233820236866283,713.9173518117378,93.82000000000001,-26.722229507340455,7,13,45.0,False
S85_SL5_TP10,85,5.0,10.0,12,1,10,0.1,274,43.06569343065693,270.0356367914713,-0.20998951103837188,1.3848189903216452,-54.99591269061974,42.10102327197034,-44.20775923803664,-39.95217568579433,-5.9493261128770625,293.4428340572851,95.54,-24.928175949981213,8,13,48.0,False
S85_SL5_TP12,85,5.0,12.0,12,1,10,0.1,271,44.64944649446495,903.3661527213048,-0.2,1.6702985576065297,-50.258549966169205,227.53516179670675,7.359355093045483,-18.166818859409418,-4.788634253171653,953.8302279890675,99.68,-22.568099982329702,7,13,52.0,False
S85_SL5_TP15,85,5.0,15.0,12,1,10,0.1,261,42.911877394636015,493.07606359045246,-0.2059998200053979,1.541442814591822,-39.83445941990278,49.1734437420065,-62.4791528709947,-41.43982499741832,34.05910851921669,342.3989314425709,98.34,-24.62031133371482,7,13,50.0,False
S85_SL6_TP8,85,6.0,8.0,12,1,10,0.1,274,44.52554744525548,318.4096191876666,-0.20449860613706,1.5488849609730864,-66.69955648461858,-26.298269418691767,-65.2231632169868,-72.0694422558726,-32.9625450634077,524.143054928653,88.86,-29.207783952902787,8,13,35.0,False
