scenario,symbol,entry_time,exit_time,entry_price,exit_price,score,return_pct,pnl,reason
V7_BASE,BNB/USDT,2026-07-29T23:00:00+00:00,2026-07-30T23:00:00+00:00,571.99,591.99,75.0,3.393068060630432,3.1508941360252436,24H
V7_BASE,MUBARAK/USDT,2026-07-30T23:00:00+00:00,2026-07-31T07:00:00+00:00,0.01188,0.01316,81.0,10.663636363636352,9.886990815822358,TAKE_PROFIT
V7_BASE,ONDO/USDT,2026-07-30T09:00:00+00:00,2026-07-31T09:00:00+00:00,0.4209,0.4036,95.0,-4.206129722024233,-3.910946976645633,24H
V7_BASE,AAVE/USDT,2026-07-30T16:00:00+00:00,2026-07-31T16:00:00+00:00,100.23,96.59,90.0,-3.7280155642023325,-3.4689432629375148,24H
V7_BASE,PAXG/USDT,2026-07-30T16:00:00+00:00,2026-07-31T16:00:00+00:00,4104.06,4043.63,87.0,-1.5709719156152762,-1.4617998098684666,24H
V7_BASE,SUI/USDT,2026-07-30T16:00:00+00:00,2026-07-31T16:00:00+00:00,0.7013,0.6843,84.0,-2.5216455154712745,-2.3464079137454803,24H
V7_BASE,EURI/USDT,2026-07-30T16:00:00+00:00,2026-07-31T16:00:00+00:00,1.1531,1.1523,82.0,-0.16930881970339395,-0.15754298214461926,24H
V7_BASE,PUMP/USDT,2026-07-30T17:00:00+00:00,2026-07-31T17:00:00+00:00,0.001972,0.002139,87.0,8.360091277890463,7.714431009862054,24H
V7_BASE,FIL/USDT,2026-07-30T17:00:00+00:00,2026-07-31T17:00:00+00:00,0.7213,0.7242,84.0,0.30164979897406957,0.27835300907281635,24H
V7_BASE,TUT/USDT,2026-07-30T18:00:00+00:00,2026-07-31T18:00:00+00:00,0.01494,0.01637,82.0,9.462048192771084,8.743131668061864,24H
V7_BASE,NEAR/USDT,2026-07-30T18:00:00+00:00,2026-07-31T18:00:00+00:00,1.679,1.702,81.0,1.2684931506849306,1.172114367896171,24H
V7_BASE,GIGGLE/USDT,2026-07-31T16:00:00+00:00,2026-07-31T18:00:00+00:00,39.61,43.78,84.0,10.417116889674316,9.643245919661453,TAKE_PROFIT
V7_BASE,HEMI/USDT,2026-07-31T07:00:00+00:00,2026-08-01T07:00:00+00:00,0.00462,0.00479,89.0,3.575974025974044,3.3508517746300868,24H
V7_BASE,ALPINE/USDT,2026-07-31T09:00:00+00:00,2026-08-01T09:00:00+00:00,0.318,0.321,90.0,0.8424528301886663,0.7861254710411032,24H
V7_BASE,HOME/USDT,2026-07-31T16:00:00+00:00,2026-08-01T11:00:00+00:00,0.0055,0.0062,78.0,12.614545454545459,11.677431027341825,TAKE_PROFIT
V7_BASE,ADA/USDT,2026-07-31T16:00:00+00:00,2026-08-01T16:00:00+00:00,0.1709,0.1742,84.0,1.8290228203627774,1.6931476373192993,24H
V7_BASE,CHIP/USDT,2026-07-31T16:00:00+00:00,2026-08-01T16:00:00+00:00,0.02505,0.02525,77.0,0.6976047904191678,0.6457808451217488,24H
V7_BASE,TAO/USDT,2026-07-31T17:00:00+00:00,2026-08-01T17:00:00+00:00,196.3,191.9,86.0,-2.339225674987259,-2.184126565705327,24H
V7_BASE,EUR/USDT,2026-07-31T17:00:00+00:00,2026-08-01T17:00:00+00:00,1.1543,1.1532,84.0,-0.19520055444859516,-0.1822580528122444,24H
V7_BASE,PUMP/USDT,2026-08-01T07:00:00+00:00,2026-08-01T17:00:00+00:00,0.002206,0.002085,78.0,-5.579555757026291,-5.33730719909272,STOP_LOSS
V7_BASE,GALA/USDT,2026-07-31T18:00:00+00:00,2026-08-01T18:00:00+00:00,0.001824,0.00177,76.0,-3.0575657894736907,-2.914579711169935,24H
V7_BASE,BMT/USDT,2026-07-31T18:00:00+00:00,2026-08-01T18:00:00+00:00,0.01159,0.0119,75.0,2.5720448662640227,2.4517640173892374,24H
V7_BASE,MUBARAK/USDT,2026-08-01T09:00:00+00:00,2026-08-01T19:00:00+00:00,0.01303,0.0121,81.0,-7.2302379125096,-6.921999586148274,STOP_LOSS
V7_BASE,USDE/USDT,2026-07-31T21:00:00+00:00,2026-08-01T21:00:00+00:00,1.0008,1.0009,81.0,-0.09001798561151707,-0.08580832353860046,24H
V7_BASE,HEI/USDT,2026-08-01T21:00:00+00:00,2026-08-02T01:00:00+00:00,0.0888,0.084,86.0,-5.4999999999999964,-5.259162506068819,STOP_LOSS
V7_BASE,HOME/USDT,2026-08-01T23:00:00+00:00,2026-08-02T02:00:00+00:00,0.0064,0.00707,78.0,10.358281249999994,9.904706250421029,TAKE_PROFIT
V7_BASE,GIGGLE/USDT,2026-08-01T23:00:00+00:00,2026-08-02T07:00:00+00:00,42.54,40.18,80.0,-5.642172073342727,-5.395109058347757,STOP_LOSS
V7_BASE,TUT/USDT,2026-08-01T11:00:00+00:00,2026-08-02T11:00:00+00:00,0.01758,0.01742,90.0,-1.0092150170648413,-0.9779635803665201,24H
V7_BASE,KAITO/USDT,2026-08-01T16:00:00+00:00,2026-08-02T13:00:00+00:00,1.1497,1.0894,82.0,-5.339601635209189,-5.186731541406303,STOP_LOSS
V7_BASE,PEPE/USDT,2026-08-01T16:00:00+00:00,2026-08-02T16:00:00+00:00,2.78e-06,2.91e-06,87.0,4.571582733812952,4.440700632658178,24H
V7_BASE,DOT/USDT,2026-08-01T17:00:00+00:00,2026-08-02T17:00:00+00:00,0.775,0.798,81.0,2.8647741935483917,2.7607098893434454,24H
V7_BASE,EURI/USDT,2026-08-01T17:00:00+00:00,2026-08-02T17:00:00+00:00,1.1526,1.1531,77.0,-0.05666319625195914,-0.0546048783205606,24H
V7_BASE,ARB/USDT,2026-08-01T18:00:00+00:00,2026-08-02T18:00:00+00:00,0.0781,0.0814,77.0,4.121126760563387,3.9695194286287574,24H
V7_BASE,NEAR/USDT,2026-08-02T00:00:00+00:00,2026-08-03T00:00:00+00:00,1.693,1.715,83.0,1.198168930891907,1.1457027485969604,24H
V7_BASE,WLFI/USDT,2026-08-02T01:00:00+00:00,2026-08-03T01:00:00+00:00,0.0557,0.0554,79.0,-0.6380610412926379,-0.6067689080434775,24H
V7_BASE,SKHYB/USDT,2026-08-02T02:00:00+00:00,2026-08-03T02:00:00+00:00,148.19,146.31,89.0,-1.3673729671367834,-1.313843409756899,24H
V7_BASE,HEMI/USDT,2026-08-02T11:00:00+00:00,2026-08-03T03:00:00+00:00,0.00476,0.00447,87.0,-6.186344537815132,-5.904776551404112,STOP_LOSS
V7_BASE,PAXG/USDT,2026-08-02T07:00:00+00:00,2026-08-03T07:00:00+00:00,4059.7,4058.76,87.0,-0.12313126585707533,-0.1176473131363025,24H
V7_BASE,TUT/USDT,2026-08-03T01:00:00+00:00,2026-08-03T07:00:00+00:00,0.01757,0.01954,93.0,11.101081388730796,10.667557764553834,TAKE_PROFIT
V7_BASE,SNXXB/USDT,2026-08-03T00:00:00+00:00,2026-08-03T09:00:00+00:00,10.02,9.38,89.0,-6.4808383233532805,-6.231674615629714,STOP_LOSS
V7_BASE,SNDKB/USDT,2026-08-02T17:00:00+00:00,2026-08-03T11:00:00+00:00,1244.94,1163.35,81.0,-6.647175767506873,-6.357649235414996,STOP_LOSS
V7_BASE,KORUB/USDT,2026-08-02T17:00:00+00:00,2026-08-03T11:00:00+00:00,15.66,14.58,81.0,-6.989655172413799,-6.685211496878793,STOP_LOSS
V7_BASE,FIL/USDT,2026-08-02T13:00:00+00:00,2026-08-03T13:00:00+00:00,0.72,0.7249,84.0,0.5798750000000032,0.5504776677650653,24H
V7_BASE,ALLO/USDT,2026-08-03T11:00:00+00:00,2026-08-03T13:00:00+00:00,0.292,0.2598,89.0,-11.116369863013691,-10.505195411915565,STOP_LOSS
V7_BASE,GIGGLE/USDT,2026-08-03T07:00:00+00:00,2026-08-03T15:00:00+00:00,43.21,40.17,89.0,-7.128373061791245,-6.873716078724371,STOP_LOSS
V7_BASE,MUBARAK/USDT,2026-08-02T16:00:00+00:00,2026-08-03T16:00:00+00:00,0.01273,0.01266,92.0,-0.6493322859387499,-0.6192943552279786,24H
V7_BASE,ZEC/USDT,2026-08-02T18:00:00+00:00,2026-08-03T18:00:00+00:00,474.85,487.68,84.0,2.5992039591449982,2.496299466027935,24H
V7_BASE,HOME/USDT,2026-08-03T15:00:00+00:00,2026-08-03T19:00:00+00:00,0.00751,0.00835,92.0,11.073901464713712,10.278891850996501,TAKE_PROFIT
V7_BASE,OPN/USDT,2026-08-03T02:00:00+00:00,2026-08-04T02:00:00+00:00,0.0489,0.0531,81.0,8.480368098159516,8.13805882560085,24H
V7_BASE,USD1/USDT,2026-08-03T03:00:00+00:00,2026-08-04T03:00:00+00:00,1.00003,1.00004,84.0,-0.09900102996909903,-0.0944208681856793,24H
V7_BASE,BMT/USDT,2026-08-03T07:00:00+00:00,2026-08-04T07:00:00+00:00,0.0119,0.01181,92.0,-0.8555462184874092,-0.8249823272620631,24H
V7_BASE,ENA/USDT,2026-08-03T09:00:00+00:00,2026-08-04T09:00:00+00:00,0.0901,0.091,92.0,0.8978912319644874,0.8602248191210009,24H
V7_BASE,ADA/USDT,2026-08-03T11:00:00+00:00,2026-08-04T11:00:00+00:00,0.1865,0.1945,89.0,4.185254691689023,3.955150730556028,24H
V7_BASE,PEPE/USDT,2026-08-03T13:00:00+00:00,2026-08-04T13:00:00+00:00,2.91e-06,2.89e-06,95.0,-0.7865979381443348,-0.7355285056009535,24H
V7_BASE,RARE/USDT,2026-08-03T13:00:00+00:00,2026-08-04T13:00:00+00:00,0.01207,0.01172,89.0,-2.996851698425855,-2.8022827728876933,24H
V7_BASE,GALA/USDT,2026-08-03T16:00:00+00:00,2026-08-04T16:00:00+00:00,0.001801,0.001785,87.0,-0.9875069405885712,-0.9160016026745552,24H
V7_BASE,PUMP/USDT,2026-08-03T18:00:00+00:00,2026-08-04T18:00:00+00:00,0.002216,0.002345,95.0,5.715478339350166,5.3158740602877685,24H
V7_BASE,SPCXB/USDT,2026-08-03T19:00:00+00:00,2026-08-04T19:00:00+00:00,114.66,125.91,83.0,9.701805337519625,9.123116479500354,24H
V7_BASE,ARB/USDT,2026-08-04T02:00:00+00:00,2026-08-05T02:00:00+00:00,0.0839,0.0815,87.0,-2.9576877234803214,-2.805314682532753,24H
V7_BASE,DOT/USDT,2026-08-04T03:00:00+00:00,2026-08-05T03:00:00+00:00,0.84,0.846,82.0,0.6135714285714134,0.5819038110472121,24H
V7_BASE,SNXXB/USDT,2026-08-04T11:00:00+00:00,2026-08-05T04:00:00+00:00,11.75,12.97,89.0,10.272595744680865,9.783357757648062,TAKE_PROFIT
V7_BASE,POL/USDT,2026-08-04T07:00:00+00:00,2026-08-05T07:00:00+00:00,0.07427,0.07522,84.0,1.1778376194964395,1.1160764003533075,24H
V7_BASE,USDE/USDT,2026-08-04T09:00:00+00:00,2026-08-05T09:00:00+00:00,1.0008,1.0007,87.0,-0.10998201438849779,-0.10430950039126685,24H
V7_BASE,BICO/USDT,2026-08-05T07:00:00+00:00,2026-08-05T10:00:00+00:00,0.02482,0.0235,92.0,-5.412973408541501,-5.256089163293993,STOP_LOSS
V7_BASE,SNDKB/USDT,2026-08-04T13:00:00+00:00,2026-08-05T13:00:00+00:00,1383.52,1438.45,95.0,3.866337313519155,3.66853619235647,24H
V7_BASE,PORTAL/USDT,2026-08-04T13:00:00+00:00,2026-08-05T13:00:00+00:00,0.01059,0.01086,95.0,2.4470254957506867,2.3218361117616837,24H
V7_BASE,SOXLB/USDT,2026-08-05T13:00:00+00:00,2026-08-05T14:00:00+00:00,142.37,132.45,95.0,-7.060792301748975,-6.860592975189633,STOP_LOSS
V7_BASE,TUT/USDT,2026-08-05T02:00:00+00:00,2026-08-05T15:00:00+00:00,0.02371,0.02643,89.0,11.360480809784905,10.900916830782435,TAKE_PROFIT
V7_BASE,MUBARAK/USDT,2026-08-04T16:00:00+00:00,2026-08-05T16:00:00+00:00,0.01305,0.01317,95.0,0.8186206896551507,0.7759910944878357,24H
V7_BASE,ZEC/USDT,2026-08-04T18:00:00+00:00,2026-08-05T18:00:00+00:00,505.86,520.37,90.0,2.765514173882095,2.6361867081711665,24H
