scenario,check,status,value
CD24_E2_P5,time_integrity,OK,0
CD24_E2_P7,time_integrity,OK,0
CD24_E2_P10,time_integrity,OK,0
CD24_E2_P15,time_integrity,OK,0
COST_0.15,time_integrity,OK,0
COST_0.20,time_integrity,OK,0
COST_0.30,time_integrity,OK,0
ROBUST_72_SL5_TP10_CD6_P7,time_integrity,OK,0
ROBUST_78_SL5_TP10_CD6_P7,time_integrity,OK,0
ROBUST_78_SL5_TP12_CD6_P7,time_integrity,OK,0
ROBUST_78_SL4_TP12_CD6_P7,time_integrity,OK,0
ROBUST_78_SL5_TP10_CD24_P5,time_integrity,OK,0
ROBUST_78_SL5_TP12_CD24_P5,time_integrity,OK,0
S72_SL4_TP8,outliers,OK,0
S72_SL4_TP10,outliers,OK,0
S72_SL4_TP12,outliers,ATENÇÃO,1
S72_SL4_TP15,outliers,ATENÇÃO,1
S72_SL5_TP8,outliers,ATENÇÃO,1
S72_SL5_TP10,outliers,ATENÇÃO,1
S72_SL5_TP12,outliers,OK,0
S72_SL5_TP15,outliers,OK,0
S72_SL6_TP8,outliers,ATENÇÃO,1
S72_SL6_TP10,outliers,ATENÇÃO,1
S72_SL6_TP12,outliers,OK,0
S72_SL6_TP15,outliers,OK,0
S75_SL4_TP8,outliers,OK,0
S75_SL4_TP10,outliers,OK,0
S75_SL4_TP12,outliers,ATENÇÃO,1
S75_SL4_TP15,outliers,OK,0
S75_SL5_TP8,outliers,ATENÇÃO,1
S75_SL5_TP10,outliers,ATENÇÃO,1
S75_SL5_TP12,outliers,ATENÇÃO,1
S75_SL5_TP15,outliers,ATENÇÃO,1
S75_SL6_TP8,outliers,OK,0
S75_SL6_TP10,outliers,OK,0
S75_SL6_TP12,outliers,OK,0
S75_SL6_TP15,outliers,OK,0
S78_SL4_TP8,outliers,ATENÇÃO,1
S78_SL4_TP10,outliers,OK,0
S78_SL4_TP12,outliers,ATENÇÃO,1
S78_SL4_TP15,outliers,OK,0
S78_SL5_TP8,outliers,OK,0
S78_SL5_TP10,outliers,OK,0
S78_SL5_TP12,outliers,OK,0
S78_SL5_TP15,outliers,ATENÇÃO,1
S78_SL6_TP8,outliers,ATENÇÃO,1
S78_SL6_TP10,outliers,OK,0
S78_SL6_TP12,outliers,OK,0
S78_SL6_TP15,outliers,OK,0
S80_SL4_TP8,outliers,OK,0
S80_SL4_TP10,outliers,ATENÇÃO,1
S80_SL4_TP12,outliers,ATENÇÃO,1
S80_SL4_TP15,outliers,ATENÇÃO,1
S80_SL5_TP8,outliers,ATENÇÃO,1
S80_SL5_TP10,outliers,ATENÇÃO,1
S80_SL5_TP12,outliers,ATENÇÃO,1
S80_SL5_TP15,outliers,OK,0
S80_SL6_TP8,outliers,OK,0
S80_SL6_TP10,outliers,OK,0
S80_SL6_TP12,outliers,OK,0
S80_SL6_TP15,outliers,OK,0
S82_SL4_TP8,outliers,OK,0
S82_SL4_TP10,outliers,OK,0
S82_SL4_TP12,outliers,OK,0
S82_SL4_TP15,outliers,ATENÇÃO,1
S82_SL5_TP8,outliers,OK,0
S82_SL5_TP10,outliers,OK,0
S82_SL5_TP12,outliers,OK,0
S82_SL5_TP15,outliers,OK,0
S82_SL6_TP8,outliers,OK,0
S82_SL6_TP10,outliers,OK,0
S82_SL6_TP12,outliers,OK,0
S82_SL6_TP15,outliers,OK,0
S85_SL4_TP8,outliers,ATENÇÃO,1
S85_SL4_TP10,outliers,OK,0
S85_SL4_TP12,outliers,ATENÇÃO,1
S85_SL4_TP15,outliers,OK,0
S85_SL5_TP8,outliers,ATENÇÃO,1
S85_SL5_TP10,outliers,OK,0
S85_SL5_TP12,outliers,OK,0
S85_SL5_TP15,outliers,OK,0
S85_SL6_TP8,outliers,ATENÇÃO,1
S85_SL6_TP10,outliers,OK,0
S85_SL6_TP12,outliers,OK,0
S85_SL6_TP15,outliers,OK,0
CD6_E1_P5,outliers,OK,0
CD6_E1_P7,outliers,ATENÇÃO,1
CD6_E1_P10,outliers,ATENÇÃO,1
CD6_E1_P15,outliers,ATENÇÃO,1
CD6_E2_P5,outliers,OK,0
CD6_E2_P7,outliers,OK,0
CD6_E2_P10,outliers,OK,0
CD6_E2_P15,outliers,ATENÇÃO,1
CD12_E1_P5,outliers,OK,0
CD12_E1_P7,outliers,ATENÇÃO,1
CD12_E1_P15,outliers,ATENÇÃO,1
CD12_E2_P5,outliers,OK,0
CD12_E2_P7,outliers,ATENÇÃO,1
CD12_E2_P10,outliers,OK,0
CD12_E2_P15,outliers,ATENÇÃO,1
CD24_E1_P5,outliers,OK,0
CD24_E1_P7,outliers,ATENÇÃO,1
CD24_E1_P10,outliers,OK,0
CD24_E1_P15,outliers,OK,0
CD24_E2_P5,outliers,OK,0
CD24_E2_P7,outliers,ATENÇÃO,1
CD24_E2_P10,outliers,OK,0
CD24_E2_P15,outliers,OK,0
COST_0.15,outliers,ATENÇÃO,1
COST_0.20,outliers,ATENÇÃO,1
COST_0.30,outliers,ATENÇÃO,1
ROBUST_72_SL5_TP10_CD6_P7,outliers,ATENÇÃO,1
ROBUST_78_SL5_TP10_CD6_P7,outliers,ATENÇÃO,1
ROBUST_78_SL5_TP12_CD6_P7,outliers,ATENÇÃO,1
ROBUST_78_SL4_TP12_CD6_P7,outliers,OK,0
ROBUST_78_SL5_TP10_CD24_P5,outliers,OK,0
ROBUST_78_SL5_TP12_CD24_P5,outliers,OK,0
S72_SL4_TP8,db_entry_consistency,OK,0
S72_SL4_TP8,db_exit_consistency,FALHA,175
S72_SL4_TP10,db_entry_consistency,OK,0
S72_SL4_TP10,db_exit_consistency,FALHA,138
S72_SL4_TP12,db_entry_consistency,OK,0
S72_SL4_TP12,db_exit_consistency,FALHA,139
S72_SL4_TP15,db_entry_consistency,OK,0
S72_SL4_TP15,db_exit_consistency,FALHA,130
S72_SL5_TP8,db_entry_consistency,OK,0
S72_SL5_TP8,db_exit_consistency,FALHA,136
S72_SL5_TP10,db_entry_consistency,OK,0
S72_SL5_TP10,db_exit_consistency,FALHA,120
S72_SL5_TP12,db_entry_consistency,OK,0
S72_SL5_TP12,db_exit_consistency,FALHA,109
S72_SL5_TP15,db_entry_consistency,OK,0
S72_SL5_TP15,db_exit_consistency,FALHA,94
S72_SL6_TP8,db_entry_consistency,OK,0
S72_SL6_TP8,db_exit_consistency,FALHA,116
S72_SL6_TP10,db_entry_consistency,OK,0
S72_SL6_TP10,db_exit_consistency,FALHA,102
S72_SL6_TP12,db_entry_consistency,OK,0
S72_SL6_TP12,db_exit_consistency,FALHA,97
S72_SL6_TP15,db_entry_consistency,OK,0
S72_SL6_TP15,db_exit_consistency,FALHA,87
S75_SL4_TP8,db_entry_consistency,OK,0
S75_SL4_TP8,db_exit_consistency,FALHA,140
S75_SL4_TP10,db_entry_consistency,OK,0
S75_SL4_TP10,db_exit_consistency,FALHA,122
S75_SL4_TP12,db_entry_consistency,OK,0
S75_SL4_TP12,db_exit_consistency,FALHA,125
S75_SL4_TP15,db_entry_consistency,OK,0
S75_SL4_TP15,db_exit_consistency,FALHA,106
S75_SL5_TP8,db_entry_consistency,OK,0
S75_SL5_TP8,db_exit_consistency,FALHA,117
S75_SL5_TP10,db_entry_consistency,OK,0
S75_SL5_TP10,db_exit_consistency,FALHA,117
S75_SL5_TP12,db_entry_consistency,OK,0
S75_SL5_TP12,db_exit_consistency,FALHA,112
S75_SL5_TP15,db_entry_consistency,OK,0
S75_SL5_TP15,db_exit_consistency,FALHA,93
S75_SL6_TP8,db_entry_consistency,OK,0
S75_SL6_TP8,db_exit_consistency,FALHA,110
S75_SL6_TP10,db_entry_consistency,OK,0
S75_SL6_TP10,db_exit_consistency,FALHA,96
S75_SL6_TP12,db_entry_consistency,OK,0
S75_SL6_TP12,db_exit_consistency,FALHA,92
S75_SL6_TP15,db_entry_consistency,OK,0
S75_SL6_TP15,db_exit_consistency,FALHA,95
S78_SL4_TP8,db_entry_consistency,OK,0
S78_SL4_TP8,db_exit_consistency,FALHA,128
S78_SL4_TP10,db_entry_consistency,OK,0
S78_SL4_TP10,db_exit_consistency,FALHA,107
S78_SL4_TP12,db_entry_consistency,OK,0
S78_SL4_TP12,db_exit_consistency,FALHA,109
S78_SL4_TP15,db_entry_consistency,OK,0
S78_SL4_TP15,db_exit_consistency,FALHA,96
S78_SL5_TP8,db_entry_consistency,OK,0
S78_SL5_TP8,db_exit_consistency,FALHA,105
S78_SL5_TP10,db_entry_consistency,OK,0
S78_SL5_TP10,db_exit_consistency,FALHA,95
S78_SL5_TP12,db_entry_consistency,OK,0
S78_SL5_TP12,db_exit_consistency,FALHA,88
S78_SL5_TP15,db_entry_consistency,OK,0
S78_SL5_TP15,db_exit_consistency,FALHA,79
S78_SL6_TP8,db_entry_consistency,OK,0
S78_SL6_TP8,db_exit_consistency,FALHA,92
S78_SL6_TP10,db_entry_consistency,OK,0
S78_SL6_TP10,db_exit_consistency,FALHA,85
S78_SL6_TP12,db_entry_consistency,OK,0
S78_SL6_TP12,db_exit_consistency,FALHA,76
S78_SL6_TP15,db_entry_consistency,OK,0
