row,scenario,symbol,entry_price,exit_price,return_pct,pnl,gross_return_pct,implicit_cost_pp,nearest_simple_cost,nearest_distance_pp
75,S72_SL4_TP8,PAXG/USDT,4063.01,4078.89,0.19084324183302764,1.9084324183302765,0.39084324,0.20000000,0.20,0.00000000
76,S72_SL4_TP8,UNI/USDT,3.912,3.854,-1.6826175869120605,-16.826175869120604,-1.48261759,0.20000000,0.20,0.00000000
77,S72_SL4_TP8,AAVE/USDT,97.0,99.73,2.6144329896907292,26.144329896907294,2.81443299,0.20000000,0.20,0.00000000
78,S72_SL4_TP8,CRCLB/USDT,63.73,63.79,-0.10585281656989559,-1.0585281656989558,0.09414718,0.20000000,0.20,0.00000000
79,S72_SL4_TP8,GRAM/USDT,1.519,1.486,-2.372481895984191,-23.724818959841908,-2.17248190,0.20000000,0.20,0.00000000
80,S72_SL4_TP8,BNB/USDT,573.34,571.82,-0.4651131963581799,-4.651131963581799,-0.26511320,0.20000000,0.20,0.00000000
81,S72_SL4_TP8,TAO/USDT,200.8,192.768,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
82,S72_SL4_TP8,KAITO/USDT,1.2228,1.3206240000000002,7.800000000000007,78.00000000000007,8.00000000,0.20000000,0.20,0.00000000
83,S72_SL4_TP8,PUMP/USDT,0.002144,0.00205824,-4.200000000000014,-42.00000000000014,-4.00000000,0.20000000,0.20,0.00000000
84,S72_SL4_TP8,BCH/USDT,219.2,212.7,-3.1653284671532833,-31.653284671532834,-2.96532847,0.20000000,0.20,0.00000000
85,S72_SL4_TP8,RLUSD/USDT,1.0013,1.0011,-0.2199740337561094,-2.199740337561094,-0.01997403,0.20000000,0.20,0.00000000
86,S72_SL4_TP8,MSTRB/USDT,97.4,98.12,0.5392197125256628,5.3921971252566285,0.73921971,0.20000000,0.20,0.00000000
87,S72_SL4_TP8,USDC/USDT,1.00095,1.00085,-0.20999050901643318,-2.0999050901643317,-0.00999051,0.20000000,0.20,0.00000000
88,S72_SL4_TP8,USD1/USDT,0.9999,0.99978,-0.2120012001200154,-2.1200120012001538,-0.01200120,0.20000000,0.20,0.00000000
89,S72_SL4_TP8,TREE/USDT,0.0387,0.0381,-1.7503875968992164,-17.503875968992162,-1.55038760,0.20000000,0.20,0.00000000
90,S72_SL4_TP8,MUBARAK/USDT,0.01095,0.0109,-0.6566210045662044,-6.566210045662044,-0.45662100,0.20000000,0.20,0.00000000
91,S72_SL4_TP8,U/USDT,1.0007,1.0009,-0.18001399020686187,-1.8001399020686186,0.01998601,0.20000000,0.20,0.00000000
92,S72_SL4_TP8,XUSD/USDT,1.0012,1.0012,-0.2,-2.0,0.00000000,0.20000000,0.20,0.00000000
93,S72_SL4_TP8,CRCLB/USDT,65.84,63.2064,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
