signal_id,scenario,symbol,entry_time,entry_price,timeframe,score,confidence,signal
20260828010000+0000_d3d17b2a4e,V9.20_V3_FORWARD,AAVE/USDT,2026-08-28T01:00:00+00:00,129.080000000000,1h,70.00,65.00,LONG
20260828010000+0000_e98ea25946,V9.20_V3_FORWARD,WLD/USDT,2026-08-28T01:00:00+00:00,0.419000000000,1h,70.00,65.00,LONG
20260828010000+0000_d9aa6472af,V9.20_V3_FORWARD,BNB/USDT,2026-08-28T01:00:00+00:00,713.780000000000,1h,67.00,55.00,LONG
20260828100000+0000_4949d9e3e0,V9.20_V3_FORWARD,PROM/USDT,2026-08-28T10:00:00+00:00,5.356000000000,1h,75.00,70.00,LONG
20260828100000+0000_027e7e4a78,V9.20_V3_FORWARD,CHIP/USDT,2026-08-28T10:00:00+00:00,0.042480000000,1h,69.00,56.00,LONG
20260828110000+0000_e3b2707044,V9.20_V3_FORWARD,CHIP/USDT,2026-08-28T11:00:00+00:00,0.042680000000,1h,75.00,70.00,LONG
20260828110000+0000_a72d309ef0,V9.20_V3_FORWARD,PROM/USDT,2026-08-28T11:00:00+00:00,5.046000000000,1h,69.00,56.00,LONG
20260828130000+0000_42f85a19f0,V9.20_V3_FORWARD,CHIP/USDT,2026-08-28T13:00:00+00:00,0.044960000000,1h,70.00,70.00,LONG
20260828130000+0000_41c917287a,V9.20_V3_FORWARD,SPCXB/USDT,2026-08-28T13:00:00+00:00,141.520000000000,1h,70.00,65.00,LONG
20260828130000+0000_16bdabd02e,V9.20_V3_FORWARD,ETH/USDT,2026-08-28T13:00:00+00:00,2509.170000000000,1h,67.00,55.00,LONG
20260828130000+0000_61ddb9a2a8,V9.20_V3_FORWARD,FDUSD/USDT,2026-08-28T13:00:00+00:00,0.999300000000,1h,67.00,55.00,LONG
20260828130000+0000_31395398d4,V9.20_V3_FORWARD,TRX/USDT,2026-08-28T13:00:00+00:00,0.341400000000,1h,65.00,58.00,LONG
20260828130000+0000_fd6acca903,V9.20_V3_FORWARD,SNDKB/USDT,2026-08-28T13:00:00+00:00,1491.450000000000,1h,65.00,55.00,LONG
20260828140000+0000_22c575fa2e,V9.20_V3_FORWARD,TRUMP/USDT,2026-08-28T14:00:00+00:00,2.835000000000,1h,75.00,70.00,LONG
20260828140000+0000_a8a5aed619,V9.20_V3_FORWARD,LINK/USDT,2026-08-28T14:00:00+00:00,11.839000000000,1h,70.00,65.00,LONG
20260828140000+0000_e72f3edadf,V9.20_V3_FORWARD,AVAX/USDT,2026-08-28T14:00:00+00:00,7.437000000000,1h,67.00,55.00,LONG
20260828140000+0000_56d3beaa74,V9.20_V3_FORWARD,ETH/USDT,2026-08-28T14:00:00+00:00,2513.000000000000,1h,67.00,55.00,LONG
20260828140000+0000_5b441ad05b,V9.20_V3_FORWARD,SOL/USDT,2026-08-28T14:00:00+00:00,106.310000000000,1h,67.00,55.00,LONG
20260828140000+0000_faf3bfd63f,V9.20_V3_FORWARD,UNI/USDT,2026-08-28T14:00:00+00:00,4.610000000000,1h,67.00,55.00,LONG
20260828140000+0000_5da13f7317,V9.20_V3_FORWARD,SNDKB/USDT,2026-08-28T14:00:00+00:00,1495.150000000000,1h,65.00,55.00,LONG
20260828150000+0000_26624468a3,V9.20_V3_FORWARD,HEMI/USDT,2026-08-28T15:00:00+00:00,0.012800000000,1h,72.00,59.00,LONG
20260828150000+0000_e402ab36e8,V9.20_V3_FORWARD,ENA/USDT,2026-08-28T15:00:00+00:00,0.169400000000,1h,69.00,56.00,LONG
20260828150000+0000_ac1311c685,V9.20_V3_FORWARD,ZEC/USDT,2026-08-28T15:00:00+00:00,806.420000000000,1h,67.00,55.00,LONG
20260828160000+0000_5aa72c5c08,V9.20_V3_FORWARD,HEMI/USDT,2026-08-28T16:00:00+00:00,0.012600000000,1h,69.00,48.00,LONG
20260828160000+0000_b26134030c,V9.20_V3_FORWARD,USD1/USDT,2026-08-28T16:00:00+00:00,0.999860000000,1h,67.00,55.00,LONG
20260828160000+0000_ada70426c0,V9.20_V3_FORWARD,ZEC/USDT,2026-08-28T16:00:00+00:00,798.480000000000,1h,67.00,55.00,LONG
20260828160000+0000_7c7c7b629e,V9.20_V3_FORWARD,ENA/USDT,2026-08-28T16:00:00+00:00,0.165700000000,1h,67.00,54.00,LONG
20260828180000+0000_5ffc43d8b3,V9.20_V3_FORWARD,DEXE/USDT,2026-08-28T18:00:00+00:00,2.318000000000,1h,70.00,70.00,LONG
20260828230000+0000_4cfbbdc6aa,V9.20_V3_FORWARD,ENSO/USDT,2026-08-28T23:00:00+00:00,0.871000000000,1h,73.00,68.00,LONG
20260829000000+0000_a269a5a520,V9.20_V3_FORWARD,ONG/USDT,2026-08-29T00:00:00+00:00,0.118100000000,1h,65.00,55.00,LONG
20260829010000+0000_b6e6d3f1fc,V9.20_V3_FORWARD,CHIP/USDT,2026-08-29T01:00:00+00:00,0.042510000000,1h,69.00,48.00,LONG
20260829020000+0000_9fc5637058,V9.20_V3_FORWARD,DEXE/USDT,2026-08-29T02:00:00+00:00,2.527000000000,1h,69.00,48.00,LONG
20260829030000+0000_eb84501030,V9.20_V3_FORWARD,TRUMP/USDT,2026-08-29T03:00:00+00:00,2.840000000000,1h,69.00,56.00,LONG
