time,equity,open_positions
2026-07-29T20:00:00+00:00,769.88394682,10
2026-07-29T21:00:00+00:00,769.88394682,10
2026-07-29T22:00:00+00:00,769.68094987,10
2026-07-29T23:00:00+00:00,769.68094987,10
2026-07-30T00:00:00+00:00,769.68094987,10
2026-07-30T01:00:00+00:00,769.68094987,10
2026-07-30T02:00:00+00:00,769.68094987,10
2026-07-30T03:00:00+00:00,767.93538413,10
2026-07-30T04:00:00+00:00,767.93538413,10
2026-07-30T05:00:00+00:00,767.93538413,10
2026-07-30T06:00:00+00:00,767.93538413,10
2026-07-30T07:00:00+00:00,767.93538413,10
2026-07-30T08:00:00+00:00,767.93538413,10
2026-07-30T09:00:00+00:00,767.93538413,10
2026-07-30T10:00:00+00:00,760.48023231,10
2026-07-30T11:00:00+00:00,760.48023231,10
2026-07-30T12:00:00+00:00,760.48023231,10
2026-07-30T14:00:00+00:00,760.25426036,10
2026-07-30T15:00:00+00:00,760.25426036,10
2026-07-30T16:00:00+00:00,769.61828090,10
2026-07-30T17:00:00+00:00,769.61828090,10
2026-07-30T18:00:00+00:00,767.06388234,10
2026-07-30T19:00:00+00:00,767.57068862,10
2026-07-30T20:00:00+00:00,767.57068862,10
2026-07-30T21:00:00+00:00,767.57068862,10
2026-07-30T22:00:00+00:00,767.26738284,10
2026-07-30T23:00:00+00:00,767.26738284,10
2026-07-31T00:00:00+00:00,767.26738284,10
2026-07-31T01:00:00+00:00,767.26738284,10
2026-07-31T02:00:00+00:00,767.26738284,10
2026-07-31T03:00:00+00:00,767.26738284,10
2026-07-31T04:00:00+00:00,767.26738284,10
2026-07-31T05:00:00+00:00,767.26738284,10
2026-07-31T06:00:00+00:00,767.26738284,10
2026-07-31T07:00:00+00:00,767.26738284,10
2026-07-31T08:00:00+00:00,767.26738284,10
2026-07-31T09:00:00+00:00,763.06738284,10
2026-07-31T10:00:00+00:00,759.56450150,10
2026-07-31T11:00:00+00:00,759.56450150,10
2026-07-31T12:00:00+00:00,759.56450150,10
2026-07-31T13:00:00+00:00,751.16450150,10
2026-07-31T14:00:00+00:00,751.16450150,10
2026-07-31T15:00:00+00:00,751.16450150,10
2026-07-31T16:00:00+00:00,744.62594932,10
2026-07-31T17:00:00+00:00,752.42594932,10
2026-07-31T18:00:00+00:00,753.59172591,10
2026-07-31T19:00:00+00:00,749.39172591,10
2026-07-31T20:00:00+00:00,749.39172591,10
2026-07-31T21:00:00+00:00,749.39172591,10
2026-07-31T22:00:00+00:00,750.79252631,10
2026-07-31T23:00:00+00:00,750.79252631,10
2026-08-01T00:00:00+00:00,750.79252631,10
2026-08-01T01:00:00+00:00,750.79252631,10
2026-08-01T02:00:00+00:00,750.79252631,10
2026-08-01T03:00:00+00:00,750.79252631,10
2026-08-01T04:00:00+00:00,750.79252631,10
2026-08-01T05:00:00+00:00,750.79252631,10
2026-08-01T06:00:00+00:00,750.79252631,10
2026-08-01T07:00:00+00:00,750.79252631,10
2026-08-01T08:00:00+00:00,750.79252631,10
2026-08-01T09:00:00+00:00,751.53592254,10
2026-08-01T10:00:00+00:00,747.72659612,10
2026-08-01T11:00:00+00:00,755.52659612,10
2026-08-01T12:00:00+00:00,755.52659612,10
2026-08-01T13:00:00+00:00,758.15772365,10
2026-08-01T14:00:00+00:00,758.15772365,10
2026-08-01T15:00:00+00:00,758.15772365,10
2026-08-01T16:00:00+00:00,757.24892270,10
2026-08-01T17:00:00+00:00,754.80745556,10
2026-08-01T18:00:00+00:00,748.97924417,10
2026-08-01T19:00:00+00:00,748.97924417,10
2026-08-01T20:00:00+00:00,748.97924417,10
2026-08-01T21:00:00+00:00,748.97924417,10
2026-08-01T22:00:00+00:00,748.97924417,10
2026-08-01T23:00:00+00:00,748.97924417,10
2026-08-02T00:00:00+00:00,748.97924417,10
2026-08-02T01:00:00+00:00,748.97924417,10
2026-08-02T02:00:00+00:00,748.97924417,10
2026-08-02T03:00:00+00:00,748.97924417,10
2026-08-02T04:00:00+00:00,748.97924417,10
2026-08-02T05:00:00+00:00,748.97924417,10
2026-08-02T06:00:00+00:00,756.77924417,10
2026-08-02T07:00:00+00:00,756.77924417,10
2026-08-02T08:00:00+00:00,756.77924417,10
2026-08-02T09:00:00+00:00,756.77924417,10
2026-08-02T10:00:00+00:00,758.62737549,10
2026-08-02T11:00:00+00:00,758.37224870,10
2026-08-02T12:00:00+00:00,754.17224870,10
2026-08-02T13:00:00+00:00,749.21515993,10
2026-08-02T14:00:00+00:00,757.01515993,10
2026-08-02T15:00:00+00:00,752.81515993,10
2026-08-02T16:00:00+00:00,762.61515993,10
2026-08-02T17:00:00+00:00,765.38290187,10
2026-08-02T18:00:00+00:00,769.40825398,10
2026-08-02T19:00:00+00:00,769.40825398,10
2026-08-02T20:00:00+00:00,787.00825398,10
2026-08-02T21:00:00+00:00,787.00825398,10
2026-08-02T22:00:00+00:00,787.00825398,10
2026-08-02T23:00:00+00:00,787.00825398,10
2026-08-03T00:00:00+00:00,787.00825398,10
2026-08-03T01:00:00+00:00,787.00825398,10
2026-08-03T02:00:00+00:00,787.00825398,10
2026-08-03T03:00:00+00:00,782.80825398,10
2026-08-03T04:00:00+00:00,782.80825398,10
