scenario,trades,win_rate_pct,pnl,return_on_reference_capital_pct,profit_factor,max_drawdown_pct,real_data_issues,warnings
S82_SL5_TP10,287,44.94773519163763,2190.956104504383,219.09561045043827,1.4966648942616236,-32.609410434625005,287,2
S82_SL5_TP12,287,44.25087108013937,3054.8517400851033,305.48517400851034,1.719575770237293,-33.028368061032474,287,2
S82_SL5_TP15,280,41.785714285714285,2876.657866407905,287.66578664079054,1.678334669779796,-36.32635739870298,280,2
S82_SL5_TP8,301,45.182724252491695,2038.710977368103,203.8710977368103,1.474003135029421,-32.342768828683106,301,2
S82_SL6_TP10,284,44.36619718309859,1988.2928097343267,198.82928097343267,1.4338054728441454,-29.65936722124801,284,2
S82_SL6_TP12,286,43.00699300699301,2104.1040361533096,210.41040361533098,1.42952686454642,-66.78491339250044,286,2
S82_SL6_TP15,273,43.223443223443226,2255.411517774886,225.54115177748858,1.5002226418999085,-79.40956376966868,273,2
S82_SL6_TP8,290,45.86206896551724,1499.6750304991544,149.96750304991545,1.3392453336017156,-40.74696816728925,290,2
S85_SL4_TP10,275,42.54545454545455,2189.3505221324945,218.93505221324943,1.5888802668517548,-41.72806615116103,275,2
S85_SL4_TP12,276,44.20289855072464,4886.817918345076,488.6817918345075,2.3140267213522625,-46.19498037794834,276,3
S85_SL4_TP15,270,42.96296296296296,3465.6795706006287,346.5679570600629,1.934923129477228,-33.37543103336852,270,2
S85_SL4_TP8,288,44.79166666666667,3690.747628170754,369.0747628170754,1.9496257071120866,-48.69904637146894,288,3
S85_SL5_TP10,274,43.06569343065693,1619.0258279827815,161.90258279827813,1.3848189903216452,-68.28443145170492,274,2
S85_SL5_TP12,271,44.64944649446495,2689.7998887711165,268.9799888771117,1.67029855760653,-60.19352975651554,271,2
S85_SL5_TP15,261,42.911877394636015,2163.163228806621,216.3163228806621,1.5414428145918218,-48.025809238606655,261,2
S85_SL5_TP8,280,44.285714285714285,2771.9923399297636,277.19923399297636,1.6365969934568387,-92.78465143241773,280,3
S85_SL6_TP10,270,45.18518518518518,1742.399401183735,174.2399401183735,1.3993801165984001,-89.33450117934524,270,2
S85_SL6_TP12,267,45.31835205992509,2349.3976481322456,234.93976481322457,1.5480855293160822,-81.15237970093698,267,2
S85_SL6_TP15,258,40.69767441860465,1485.3889366358069,148.5388936635807,1.3134666630154217,-54.77373956515484,258,2
S85_SL6_TP8,274,44.52554744525548,2463.2699769517835,246.32699769517833,1.5488849609730864,-95.90596197780343,274,3
